,models,avg_inf_time
0,Baseline,1.6643
1,BERT,3.1136
2,T5,2.3688
3,GPT35,1.2674
4,GPT4,5.3076
5,BERT-FT,0.471
6,T5-FT,1.8913
7,GPT35-FT,1.1947
8,GPT4-FT,4.7775
