,loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_rougeLsum,eval_gen_len,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,1.2708,2.4503238201141357,9.666666666666667e-05,0.15,100,,,,,,,,,,,,,,
1,,,,0.15,100,1.810975432395935,0.289,0.1168,0.2199,0.2199,29.0,30.2934,18.981,2.377,,,,,
2,1.2945,2.3126332759857178,9.333333333333334e-05,0.31,200,,,,,,,,,,,,,,
3,,,,0.31,200,1.8250410556793213,0.2885,0.1171,0.2214,0.2214,29.0,30.32,18.964,2.375,,,,,
4,1.3032,3.0433452129364014,9e-05,0.46,300,,,,,,,,,,,,,,
5,,,,0.46,300,1.814371109008789,0.2901,0.1181,0.2215,0.2217,29.0,30.2912,18.982,2.377,,,,,
6,1.3167,2.685375213623047,8.666666666666667e-05,0.62,400,,,,,,,,,,,,,,
7,,,,0.62,400,1.8175201416015625,0.29,0.1194,0.223,0.2232,29.0,30.2493,19.009,2.38,,,,,
8,1.3814,2.201786756515503,8.333333333333334e-05,0.77,500,,,,,,,,,,,,,,
9,,,,0.77,500,1.8203743696212769,0.2886,0.1168,0.2191,0.2191,29.0,30.281,18.989,2.378,,,,,
10,1.3494,2.149895191192627,8e-05,0.93,600,,,,,,,,,,,,,,
11,,,,0.93,600,1.820878505706787,0.2893,0.12,0.2208,0.2211,29.0,30.2037,19.037,2.384,,,,,
12,1.2848,2.2069339752197266,7.666666666666667e-05,1.08,700,,,,,,,,,,,,,,
13,,,,1.08,700,1.8254640102386475,0.2888,0.1175,0.2192,0.2193,29.0,30.2532,19.006,2.38,,,,,
14,1.2869,2.5629327297210693,7.333333333333333e-05,1.24,800,,,,,,,,,,,,,,
15,,,,1.24,800,1.82467782497406,0.2878,0.1149,0.2198,0.2197,29.0,30.2425,19.013,2.381,,,,,
16,1.3533,2.4208872318267822,7e-05,1.39,900,,,,,,,,,,,,,,
17,,,,1.39,900,1.8129043579101562,0.2928,0.1214,0.2239,0.2237,29.0,30.1767,19.054,2.386,,,,,
18,1.3488,2.4085848331451416,6.666666666666667e-05,1.55,1000,,,,,,,,,,,,,,
19,,,,1.55,1000,1.8133043050765991,0.2913,0.1199,0.2259,0.226,29.0,30.3186,18.965,2.375,,,,,
20,1.3659,1.990390419960022,6.333333333333333e-05,1.7,1100,,,,,,,,,,,,,,
21,,,,1.7,1100,1.806938648223877,0.2908,0.1175,0.2231,0.2231,29.0,30.2446,19.012,2.381,,,,,
22,1.3939,2.2490410804748535,6e-05,1.86,1200,,,,,,,,,,,,,,
23,,,,1.86,1200,1.797905445098877,0.2827,0.1128,0.2172,0.2175,29.0,30.3031,18.975,2.376,,,,,
24,1.4101,2.6893582344055176,5.666666666666667e-05,2.01,1300,,,,,,,,,,,,,,
25,,,,2.01,1300,1.79911208152771,0.2894,0.118,0.221,0.2214,29.0,30.1974,19.041,2.384,,,,,
26,1.3496,2.8276498317718506,5.333333333333333e-05,2.17,1400,,,,,,,,,,,,,,
27,,,,2.17,1400,1.8050893545150757,0.288,0.1175,0.2203,0.2207,29.0,30.2295,19.021,2.382,,,,,
28,1.3734,2.5503134727478027,5e-05,2.32,1500,,,,,,,,,,,,,,
29,,,,2.32,1500,1.794596791267395,0.2938,0.1239,0.2265,0.2268,29.0,30.268,18.997,2.379,,,,,
30,1.3574,2.1882340908050537,4.666666666666667e-05,2.48,1600,,,,,,,,,,,,,,
31,,,,2.48,1600,1.7946434020996094,0.2934,0.1221,0.2249,0.2253,29.0,30.318,18.966,2.375,,,,,
32,1.4206,3.2480661869049072,4.3333333333333334e-05,2.63,1700,,,,,,,,,,,,,,
33,,,,2.63,1700,1.7869499921798706,0.2891,0.1168,0.2216,0.2219,29.0,30.2364,19.017,2.381,,,,,
34,1.4446,2.6429333686828613,4e-05,2.79,1800,,,,,,,,,,,,,,
35,,,,2.79,1800,1.779320240020752,0.2879,0.1177,0.2213,0.2217,29.0,30.3131,18.969,2.375,,,,,
36,1.4697,2.89684796333313,3.6666666666666666e-05,2.94,1900,,,,,,,,,,,,,,
37,,,,2.94,1900,1.7758818864822388,0.2944,0.1223,0.2259,0.2262,29.0,30.2394,19.015,2.381,,,,,
38,1.41,2.816460371017456,3.3333333333333335e-05,3.1,2000,,,,,,,,,,,,,,
39,,,,3.1,2000,1.7822003364562988,0.29,0.1188,0.2236,0.224,29.0,30.3786,18.928,2.37,,,,,
40,1.4281,2.8033676147460938,3e-05,3.25,2100,,,,,,,,,,,,,,
41,,,,3.25,2100,1.7797467708587646,0.2915,0.1206,0.2237,0.224,29.0,30.2857,18.986,2.377,,,,,
42,1.465,2.5032272338867188,2.6666666666666667e-05,3.41,2200,,,,,,,,,,,,,,
43,,,,3.41,2200,1.7739943265914917,0.287,0.1196,0.2222,0.2224,29.0,30.3058,18.973,2.376,,,,,
44,1.4935,2.4951345920562744,2.3333333333333336e-05,3.56,2300,,,,,,,,,,,,,,
45,,,,3.56,2300,1.766364574432373,0.2894,0.1204,0.2247,0.225,29.0,30.4861,18.861,2.362,,,,,
46,1.4657,3.245044231414795,2e-05,3.72,2400,,,,,,,,,,,,,,
47,,,,3.72,2400,1.7638338804244995,0.289,0.12,0.2225,0.2227,29.0,30.2396,19.015,2.381,,,,,
48,1.5175,2.501427412033081,1.6666666666666667e-05,3.87,2500,,,,,,,,,,,,,,
49,,,,3.87,2500,1.761025071144104,0.2893,0.1201,0.2233,0.2233,29.0,30.2454,19.011,2.381,,,,,
50,1.5171,2.6934149265289307,1.3333333333333333e-05,4.02,2600,,,,,,,,,,,,,,
51,,,,4.02,2600,1.7589211463928223,0.2888,0.1213,0.2243,0.2245,29.0,30.3477,18.947,2.373,,,,,
52,1.5008,2.5335328578948975,1e-05,4.18,2700,,,,,,,,,,,,,,
53,,,,4.18,2700,1.7549688816070557,0.2871,0.1199,0.2229,0.2231,29.0,30.3439,18.949,2.373,,,,,
54,1.5075,2.872032880783081,6.666666666666667e-06,4.33,2800,,,,,,,,,,,,,,
55,,,,4.33,2800,1.7528012990951538,0.2866,0.119,0.2223,0.2224,29.0,30.2161,19.03,2.383,,,,,
56,1.5619,2.9800524711608887,3.3333333333333333e-06,4.49,2900,,,,,,,,,,,,,,
57,,,,4.49,2900,1.7496706247329712,0.2886,0.1189,0.223,0.223,29.0,30.195,19.043,2.384,,,,,
58,1.5821,3.012014389038086,0.0,4.64,3000,,,,,,,,,,,,,,
59,,,,4.64,3000,1.748849630355835,0.2897,0.1198,0.2239,0.2241,29.0,30.3004,18.977,2.376,,,,,
60,,,,4.64,3000,,,,,,,,,,1577.065,15.218,1.902,6477126608093184.0,1.4074779001871744
61,,,,4.64,3000,1.748849630355835,0.2897,0.1198,0.2239,0.2241,29.0,30.3869,18.923,2.369,,,,,
