,loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_rougeLsum,eval_gen_len,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,2.3207,2.794646739959717,9.666666666666667e-06,0.15,100,,,,,,,,,,,,,,
1,,,,0.15,100,1.973244309425354,0.2824,0.1115,0.2138,0.2137,29.0,31.2585,18.395,2.303,,,,,
2,2.1241,2.1952712535858154,9.333333333333334e-06,0.31,200,,,,,,,,,,,,,,
3,,,,0.31,200,1.8745684623718262,0.2872,0.116,0.2191,0.2191,28.9983,30.2536,19.006,2.38,,,,,
4,2.0582,2.3420751094818115,9e-06,0.46,300,,,,,,,,,,,,,,
5,,,,0.46,300,1.8420045375823975,0.2866,0.116,0.2194,0.219,28.9983,30.5508,18.821,2.357,,,,,
6,2.0462,2.161227226257324,8.666666666666668e-06,0.62,400,,,,,,,,,,,,,,
7,,,,0.62,400,1.8303900957107544,0.2852,0.1159,0.2173,0.2171,28.9983,30.394,18.918,2.369,,,,,
8,2.0664,2.1021554470062256,8.333333333333334e-06,0.77,500,,,,,,,,,,,,,,
9,,,,0.77,500,1.821800708770752,0.2875,0.1182,0.2193,0.2191,29.0,30.3015,18.976,2.376,,,,,
10,2.0335,1.9889590740203857,8.000000000000001e-06,0.93,600,,,,,,,,,,,,,,
11,,,,0.93,600,1.8168585300445557,0.2903,0.1196,0.2203,0.2199,29.0,30.3696,18.933,2.371,,,,,
12,1.9715,2.78515362739563,7.666666666666667e-06,1.08,700,,,,,,,,,,,,,,
13,,,,1.08,700,1.81264328956604,0.2909,0.1188,0.22,0.2198,29.0,30.343,18.95,2.373,,,,,
14,1.9792,2.019780158996582,7.333333333333333e-06,1.24,800,,,,,,,,,,,,,,
15,,,,1.24,800,1.8080863952636719,0.2927,0.1199,0.2211,0.2212,29.0,30.1598,19.065,2.387,,,,,
16,2.0229,2.425279378890991,7e-06,1.39,900,,,,,,,,,,,,,,
17,,,,1.39,900,1.802945613861084,0.292,0.1184,0.2203,0.2202,29.0,30.2195,19.027,2.383,,,,,
18,2.0106,2.3446719646453857,6.666666666666667e-06,1.55,1000,,,,,,,,,,,,,,
19,,,,1.55,1000,1.7991384267807007,0.2914,0.1191,0.221,0.2208,29.0,30.3004,18.977,2.376,,,,,
20,2.0053,1.887609839439392,6.333333333333333e-06,1.7,1100,,,,,,,,,,,,,,
21,,,,1.7,1100,1.7979302406311035,0.2905,0.1191,0.2202,0.2203,29.0,30.3081,18.972,2.376,,,,,
22,2.0068,2.004690408706665,6e-06,1.86,1200,,,,,,,,,,,,,,
23,,,,1.86,1200,1.7958967685699463,0.2913,0.1196,0.2216,0.2214,29.0,30.3765,18.929,2.37,,,,,
24,2.0273,1.932931900024414,5.666666666666667e-06,2.01,1300,,,,,,,,,,,,,,
25,,,,2.01,1300,1.79375159740448,0.2914,0.1192,0.2211,0.2211,29.0,30.4322,18.894,2.366,,,,,
26,1.9813,2.259354591369629,5.333333333333334e-06,2.17,1400,,,,,,,,,,,,,,
27,,,,2.17,1400,1.79383385181427,0.2914,0.1196,0.2216,0.2216,29.0,30.2995,18.977,2.376,,,,,
28,1.9802,1.9790819883346558,5e-06,2.32,1500,,,,,,,,,,,,,,
29,,,,2.32,1500,1.7914224863052368,0.2897,0.118,0.2198,0.2197,29.0,30.1467,19.073,2.388,,,,,
30,1.9509,1.9158602952957153,4.666666666666667e-06,2.48,1600,,,,,,,,,,,,,,
31,,,,2.48,1600,1.791695475578308,0.2892,0.1186,0.2203,0.2202,29.0,30.4168,18.904,2.367,,,,,
32,1.9984,3.0788660049438477,4.333333333333334e-06,2.63,1700,,,,,,,,,,,,,,
33,,,,2.63,1700,1.7909696102142334,0.2896,0.1188,0.2198,0.2198,29.0,30.3134,18.969,2.375,,,,,
34,2.0023,1.920897126197815,4.000000000000001e-06,2.79,1800,,,,,,,,,,,,,,
35,,,,2.79,1800,1.7884581089019775,0.2894,0.1176,0.2193,0.2192,29.0,30.2878,18.985,2.377,,,,,
36,2.0047,2.2043185234069824,3.6666666666666666e-06,2.94,1900,,,,,,,,,,,,,,
37,,,,2.94,1900,1.7878336906433105,0.2883,0.1176,0.2191,0.2192,29.0,30.2459,19.011,2.38,,,,,
38,1.9541,2.2802093029022217,3.3333333333333333e-06,3.1,2000,,,,,,,,,,,,,,
39,,,,3.1,2000,1.7871140241622925,0.2889,0.1184,0.2192,0.2191,29.0,30.2418,19.013,2.381,,,,,
40,1.9756,2.7622721195220947,3e-06,3.25,2100,,,,,,,,,,,,,,
41,,,,3.25,2100,1.7869864702224731,0.289,0.1186,0.219,0.2189,29.0,30.3217,18.963,2.375,,,,,
42,1.9911,2.059034824371338,2.666666666666667e-06,3.41,2200,,,,,,,,,,,,,,
43,,,,3.41,2200,1.7859234809875488,0.2885,0.1181,0.2186,0.2186,29.0,30.2495,19.009,2.38,,,,,
44,1.9992,2.0430924892425537,2.3333333333333336e-06,3.56,2300,,,,,,,,,,,,,,
45,,,,3.56,2300,1.7847769260406494,0.2879,0.1176,0.2177,0.2177,29.0,30.3731,18.931,2.371,,,,,
46,1.9463,2.258476495742798,2.0000000000000003e-06,3.72,2400,,,,,,,,,,,,,,
47,,,,3.72,2400,1.784538745880127,0.2884,0.1176,0.2184,0.2183,29.0,30.4026,18.913,2.368,,,,,
48,1.9867,1.821630597114563,1.6666666666666667e-06,3.87,2500,,,,,,,,,,,,,,
49,,,,3.87,2500,1.78432297706604,0.2871,0.1175,0.2183,0.2182,29.0,30.2965,18.979,2.377,,,,,
50,1.9699,2.2549619674682617,1.3333333333333334e-06,4.02,2600,,,,,,,,,,,,,,
51,,,,4.02,2600,1.7841233015060425,0.2871,0.1179,0.2179,0.2178,29.0,30.3329,18.956,2.374,,,,,
52,1.9721,2.357220411300659,1.0000000000000002e-06,4.18,2700,,,,,,,,,,,,,,
53,,,,4.18,2700,1.783926010131836,0.2877,0.118,0.2186,0.2187,29.0,30.5053,18.849,2.36,,,,,
54,1.9491,2.1842968463897705,6.666666666666667e-07,4.33,2800,,,,,,,,,,,,,,
55,,,,4.33,2800,1.7838033437728882,0.2876,0.118,0.2185,0.2186,29.0,30.3122,18.969,2.375,,,,,
56,1.9816,2.085516929626465,3.3333333333333335e-07,4.49,2900,,,,,,,,,,,,,,
57,,,,4.49,2900,1.7835774421691895,0.2875,0.1179,0.2183,0.2184,29.0,30.1894,19.046,2.385,,,,,
58,1.9856,1.9939268827438354,0.0,4.64,3000,,,,,,,,,,,,,,
59,,,,4.64,3000,1.7835657596588135,0.2875,0.1179,0.2183,0.2184,29.0,30.686,18.738,2.346,,,,,
60,,,,4.64,3000,,,,,,,,,,1467.4595,16.355,2.044,6477126608093184.0,2.010064997355143
61,,,,4.64,3000,1.7835657596588135,0.2875,0.1179,0.2183,0.2184,29.0,30.2558,19.005,2.38,,,,,
