,loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_rougeLsum,eval_gen_len,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
43,,,,3.41,2200,1.7334009408950806,0.2899,0.1176,0.2201,0.2203,29.0,30.2663,18.998,2.379,,,,,
44,1.7957,2.355501413345337,2.3333333333333336e-05,3.56,2300,,,,,,,,,,,,,,
45,,,,3.56,2300,1.7314722537994385,0.2909,0.1188,0.2222,0.2224,29.0,30.2431,19.013,2.381,,,,,
46,1.747,2.6135988235473633,2e-05,3.72,2400,,,,,,,,,,,,,,
47,,,,3.72,2400,1.7306071519851685,0.29,0.1177,0.2233,0.2234,29.0,30.3474,18.947,2.373,,,,,
48,1.7855,2.0326755046844482,1.6666666666666667e-05,3.87,2500,,,,,,,,,,,,,,
49,,,,3.87,2500,1.731412649154663,0.2911,0.1194,0.2226,0.2226,29.0,30.3031,18.975,2.376,,,,,
50,1.7645,2.3093864917755127,1.3333333333333333e-05,4.02,2600,,,,,,,,,,,,,,
51,,,,4.02,2600,1.732392430305481,0.2895,0.1191,0.2226,0.2227,29.0,30.3536,18.943,2.372,,,,,
52,1.7505,2.069821834564209,1e-05,4.18,2700,,,,,,,,,,,,,,
53,,,,4.18,2700,1.7296949625015259,0.2913,0.1199,0.224,0.2242,29.0,30.2605,19.002,2.379,,,,,
54,1.7361,2.2324001789093018,6.666666666666667e-06,4.33,2800,,,,,,,,,,,,,,
55,,,,4.33,2800,1.7293974161148071,0.2923,0.1211,0.2249,0.2249,29.0,30.252,19.007,2.38,,,,,
56,1.7696,1.9976404905319214,3.3333333333333333e-06,4.49,2900,,,,,,,,,,,,,,
57,,,,4.49,2900,1.72837233543396,0.2934,0.1215,0.2258,0.2257,29.0,30.3147,18.968,2.375,,,,,
58,1.7746,2.3257200717926025,0.0,4.64,3000,,,,,,,,,,,,,,
59,,,,4.64,3000,1.7284719944000244,0.2925,0.1219,0.2257,0.2255,29.0,30.2657,18.998,2.379,,,,,
60,,,,4.64,3000,,,,,,,,,,1463.485,16.399,2.05,6477126608093184.0,1.818699264526367
61,,,,4.64,3000,1.7284719944000244,0.2925,0.1219,0.2257,0.2255,29.0,30.5538,18.819,2.357,,,,,
