,loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_rougeLsum,eval_gen_len,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,1.2961,2.2313079833984375,9.666666666666667e-06,0.15,100,,,,,,,,,,,,,,
1,,,,0.15,100,1.7761304378509521,0.3164,0.1303,0.2374,0.2374,38.9826,37.5879,15.297,1.916,,,,,
2,1.3078,2.267627239227295,9.333333333333334e-06,0.31,200,,,,,,,,,,,,,,
3,,,,0.31,200,1.7849699258804321,0.3235,0.1334,0.2431,0.2432,38.9809,37.5059,15.331,1.92,,,,,
4,1.3091,2.8912603855133057,9e-06,0.46,300,,,,,,,,,,,,,,
5,,,,0.46,300,1.7858034372329712,0.3244,0.1352,0.2437,0.2436,38.9861,37.4898,15.337,1.921,,,,,
6,1.3167,2.368401527404785,8.666666666666668e-06,0.62,400,,,,,,,,,,,,,,
7,,,,0.62,400,1.7906218767166138,0.32,0.1323,0.2409,0.241,38.9861,37.6044,15.291,1.915,,,,,
8,1.376,2.16115140914917,8.333333333333334e-06,0.77,500,,,,,,,,,,,,,,
9,,,,0.77,500,1.791593313217163,0.3202,0.1308,0.2396,0.2396,38.9896,37.4317,15.361,1.924,,,,,
10,1.3395,1.973628044128418,8.000000000000001e-06,0.93,600,,,,,,,,,,,,,,
11,,,,0.93,600,1.7933992147445679,0.3224,0.1329,0.2416,0.2416,38.9896,37.6118,15.288,1.914,,,,,
12,1.2889,2.1172449588775635,7.666666666666667e-06,1.08,700,,,,,,,,,,,,,,
13,,,,1.08,700,1.7955491542816162,0.3197,0.1322,0.2397,0.2396,38.9861,37.7606,15.228,1.907,,,,,
14,1.3055,2.458082675933838,7.333333333333333e-06,1.24,800,,,,,,,,,,,,,,
15,,,,1.24,800,1.7957689762115479,0.3194,0.13,0.2394,0.2394,38.9809,37.635,15.278,1.913,,,,,
16,1.3656,2.315499782562256,7e-06,1.39,900,,,,,,,,,,,,,,
17,,,,1.39,900,1.791933298110962,0.3247,0.1348,0.2413,0.2412,38.9687,37.5528,15.312,1.917,,,,,
18,1.3579,2.324937105178833,6.666666666666667e-06,1.55,1000,,,,,,,,,,,,,,
19,,,,1.55,1000,1.7907496690750122,0.3241,0.1334,0.2409,0.2408,38.9826,37.5025,15.332,1.92,,,,,
20,1.3705,1.8463435173034668,6.333333333333333e-06,1.7,1100,,,,,,,,,,,,,,
21,,,,1.7,1100,1.791048288345337,0.3206,0.1312,0.2394,0.2394,38.9861,37.4013,15.374,1.925,,,,,
22,1.3941,1.8885267972946167,6e-06,1.86,1200,,,,,,,,,,,,,,
23,,,,1.86,1200,1.78805410861969,0.3205,0.1307,0.239,0.2391,38.9896,37.571,15.304,1.916,,,,,
24,1.4138,2.471325397491455,5.666666666666667e-06,2.01,1300,,,,,,,,,,,,,,
25,,,,2.01,1300,1.7853941917419434,0.3198,0.1314,0.2392,0.2394,38.9913,37.4917,15.337,1.92,,,,,
26,1.3776,2.5527164936065674,5.333333333333334e-06,2.17,1400,,,,,,,,,,,,,,
27,,,,2.17,1400,1.7893505096435547,0.3184,0.1314,0.2386,0.2387,38.9826,37.5507,15.313,1.917,,,,,
28,1.3965,2.190342426300049,5e-06,2.32,1500,,,,,,,,,,,,,,
29,,,,2.32,1500,1.785738229751587,0.3197,0.1316,0.2392,0.2395,38.9809,37.5215,15.325,1.919,,,,,
30,1.3792,1.8949832916259766,4.666666666666667e-06,2.48,1600,,,,,,,,,,,,,,
31,,,,2.48,1600,1.7859445810317993,0.3203,0.1327,0.2405,0.2405,38.9843,37.5837,15.299,1.916,,,,,
32,1.4422,3.0890493392944336,4.333333333333334e-06,2.63,1700,,,,,,,,,,,,,,
33,,,,2.63,1700,1.7833982706069946,0.3222,0.1331,0.2409,0.2408,38.9704,37.4496,15.354,1.923,,,,,
34,1.4647,2.4663331508636475,4.000000000000001e-06,2.79,1800,,,,,,,,,,,,,,
35,,,,2.79,1800,1.7790091037750244,0.3218,0.1321,0.2413,0.2412,38.9774,37.4988,15.334,1.92,,,,,
36,1.488,2.5712902545928955,3.6666666666666666e-06,2.94,1900,,,,,,,,,,,,,,
37,,,,2.94,1900,1.7774128913879395,0.3228,0.1323,0.2416,0.2414,38.9687,37.4713,15.345,1.921,,,,,
38,1.4419,2.7432687282562256,3.3333333333333333e-06,3.1,2000,,,,,,,,,,,,,,
39,,,,3.1,2000,1.7765252590179443,0.322,0.1324,0.242,0.2417,38.9774,37.4947,15.336,1.92,,,,,
40,1.4684,3.0839617252349854,3e-06,3.25,2100,,,,,,,,,,,,,,
41,,,,3.25,2100,1.776077389717102,0.3239,0.1335,0.2421,0.242,38.9791,37.4435,15.356,1.923,,,,,
42,1.5062,2.3262438774108887,2.666666666666667e-06,3.41,2200,,,,,,,,,,,,,,
43,,,,3.41,2200,1.7734345197677612,0.3218,0.1319,0.2415,0.2414,38.9791,37.6059,15.29,1.915,,,,,
44,1.5353,2.6137406826019287,2.3333333333333336e-06,3.56,2300,,,,,,,,,,,,,,
45,,,,3.56,2300,1.770973563194275,0.3225,0.1322,0.2421,0.2422,38.9791,37.6516,15.272,1.912,,,,,
