,loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_rougeLsum,eval_gen_len,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
46,1.5077,3.1959786415100098,2.0000000000000003e-06,3.72,2400,,,,,,,,,,,,,,
47,,,,3.72,2400,1.768501877784729,0.322,0.1318,0.2412,0.2413,38.9843,37.6076,15.289,1.915,,,,,
48,1.5652,2.6345722675323486,1.6666666666666667e-06,3.87,2500,,,,,,,,,,,,,,
49,,,,3.87,2500,1.7671045064926147,0.3234,0.1329,0.2426,0.2426,38.9843,37.7647,15.226,1.907,,,,,
50,1.5652,2.506603479385376,1.3333333333333334e-06,4.02,2600,,,,,,,,,,,,,,
51,,,,4.02,2600,1.7659677267074585,0.3226,0.1329,0.2416,0.2416,38.9774,37.5598,15.309,1.917,,,,,
52,1.5636,2.367445230484009,1.0000000000000002e-06,4.18,2700,,,,,,,,,,,,,,
53,,,,4.18,2700,1.764565348625183,0.323,0.1333,0.2422,0.2422,38.9757,37.7632,15.226,1.907,,,,,
54,1.5721,2.8303210735321045,6.666666666666667e-07,4.33,2800,,,,,,,,,,,,,,
55,,,,4.33,2800,1.7635713815689087,0.323,0.1327,0.2417,0.2417,38.9757,37.6112,15.288,1.914,,,,,
56,1.6301,2.825597047805786,3.3333333333333335e-07,4.49,2900,,,,,,,,,,,,,,
57,,,,4.49,2900,1.7627111673355103,0.3229,0.133,0.242,0.242,38.9757,37.6077,15.289,1.915,,,,,
58,1.6569,3.123657703399658,0.0,4.64,3000,,,,,,,,,,,,,,
59,,,,4.64,3000,1.7624017000198364,0.3228,0.1329,0.2419,0.242,38.9757,37.6758,15.262,1.911,,,,,
60,,,,4.64,3000,,,,,,,,,,1795.6953,13.365,1.671,6477126608093184.0,1.4334049428304036
61,,,,4.64,3000,1.7624017000198364,0.3228,0.1329,0.2419,0.242,38.9757,37.7783,15.22,1.906,,,,,
